id,question_type,overlap,n_evidence,hits_baseline,hits_bm25
f020,factual,0.03724668667092982,1,1,1
f014,factual,0.16545310392643173,1,1,1
f016,factual,0.20922377536187423,1,1,1
c002,comparative,0.2107085633122982,2,0,0
f007,factual,0.2400508935505008,1,1,1
c004,comparative,0.24528880078089144,2,1,0
f008,factual,0.24979877178845822,1,0,1
f015,factual,0.25569155462070536,1,1,1
c013,comparative,0.26739995007734624,2,2,1
f017,factual,0.2877112277606792,1,0,0
c001,comparative,0.2942136657610235,2,1,1
f013,factual,0.3013870391195944,1,0,0
f001,factual,0.31648116095904,1,1,1
m017,multi_hop,0.3265630926628259,2,1,1
c005,comparative,0.3350475269744856,2,0,0
f012,factual,0.3644947367770067,1,1,1
c014,comparative,0.3645323385195699,2,2,2
m011,multi_hop,0.37029283230516413,2,1,1
f005,factual,0.3747112186721923,1,0,1
m013,multi_hop,0.39230898085876914,2,1,1
m012,multi_hop,0.39601924906085306,2,1,1
f010,factual,0.39861664281741616,1,0,0
m018,multi_hop,0.4004221875333515,2,1,2
c003,comparative,0.41382511373933867,2,0,2
c006,comparative,0.42286096115662886,2,0,1
m004,multi_hop,0.4257508677904489,2,2,2
c010,comparative,0.44006488453132087,2,1,2
f003,factual,0.4568405276069071,1,1,1
c008,comparative,0.4674440648818056,2,0,1
f004,factual,0.468743724116571,1,1,1
m006,multi_hop,0.4716120785258494,2,0,2
f002,factual,0.47581437745225236,1,1,1
f006,factual,0.4772457280040901,1,1,1
a003,ambiguous,0.4775973869486491,3,0,0
a001,ambiguous,0.4798787982230789,3,2,2
f011,factual,0.48015724350266137,1,1,1
m014,multi_hop,0.49520709049789374,2,1,1
m005,multi_hop,0.5081985600413699,2,0,1
a004,ambiguous,0.5112089233729427,3,0,0
m009,multi_hop,0.5126601437861178,2,1,2
f018,factual,0.5211329627507355,1,0,1
m010,multi_hop,0.5532244735532555,2,0,1
m008,multi_hop,0.5747169997470986,2,0,1
c011,comparative,0.5951886635061444,2,2,1
m007,multi_hop,0.6018752338596247,2,1,1
c012,comparative,0.6078011436157065,2,1,1
a005,ambiguous,0.6212474123664401,2,0,1
f009,factual,0.6241990678739636,1,1,1
m016,multi_hop,0.6320683226870533,2,1,2
m003,multi_hop,0.6610330058666568,2,1,1
m015,multi_hop,0.6708948195824901,2,1,2
f019,factual,0.705910663334278,1,1,1
m002,multi_hop,0.714746453605376,2,1,1
a002,ambiguous,0.7220239061832525,3,0,0
m001,multi_hop,0.7469665290405402,2,1,2
c007,comparative,0.8000492332885996,2,1,1
c009,comparative,0.8335881727730046,2,2,2
a006,ambiguous,1.0,3,0,1
