arxiv_id,chunk_id,title,prose_ratio,chars,text
1506.04214v2,1506.04214v2:0-2232,Convolutional LSTM Network: A Machine Learning App,0.828,2232,Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting Xingjian Shi Zhourong Chen Hao Wang Dit-Yan Yeung Department of Computer Sc
1506.04214v2,1506.04214v2:2233-4525,Convolutional LSTM Network: A Machine Learning App,0.81,2292,"into two classes [22], namely, NWP based methods and radar echo1 extrapolation based methods. For the NWP approach, making predictions at the nowcasting timesca"
1506.04214v2,1506.04214v2:4526-6823,Convolutional LSTM Network: A Machine Learning App,0.775,2297,"memory (LSTM) models [12, 11, 7, 8, 23, 13, 18, 21, 26], provide some useful insights on how to tackle this problem. According to the philosophy underlying the "
1506.04214v2,1506.04214v2:6824-8775,Convolutional LSTM Network: A Machine Learning App,0.668,1951,"nowcasting. For evaluation, we have created a new real-life radar echo dataset which can facilitate further research especially on devising machine learning alg"
1506.04214v2,1506.04214v2:8776-10871,Convolutional LSTM Network: A Machine Learning App,0.685,2095,"If we divide the map into tiled non-overlapping patches and view the pixels inside a patch as its measurements (see Fig. 1), the nowcasting problem naturally be"
1506.04214v2,1506.04214v2:10872-12793,Convolutional LSTM Network: A Machine Learning App,0.648,1921,+ it ◦tanh(Wxcxt + Whcht−1 + bc) ot = σ(Wxoxt + Whoht−1 + Wco ◦ct + bo) ht = ot ◦tanh(ct) (2) Multiple LSTMs can be stacked and temporally concatenated to form 
1506.04214v2,1506.04214v2:12794-14712,Convolutional LSTM Network: A Machine Learning App,0.659,1918,"denotes the convolution operator and ‘◦’, as before, denotes the Hadamard product: it = σ(Wxi ∗Xt + Whi ∗Ht−1 + Wci ◦Ct−1 + bi) ft = σ(Wxf ∗Xt + Whf ∗Ht−1 + Wcf"
1506.04214v2,1506.04214v2:14713-16557,Convolutional LSTM Network: A Machine Learning App,0.656,1844,"ConvLSTM can also be adopted as a building block for more complex structures. For our spatiotemporal sequence forecasting problem, we use the structure shown in"
1506.04214v2,1506.04214v2:16558-18735,Convolutional LSTM Network: A Machine Learning App,0.724,2177,gain some basic understanding of the behavior of our model. We run our model with different number of layers and kernel sizes and also study some “out-of-domain
1506.04214v2,1506.04214v2:18736-20453,Convolutional LSTM Network: A Machine Learning App,0.65,1717,"dataset. ‘-5x5’ and ‘-1x1’ represent the corresponding state-to-state kernel size, which is either 5×5 or 1×1. ‘256’, ‘128’, and ‘64’ refer to the number of hid"
1506.04214v2,1506.04214v2:20454-22737,Convolutional LSTM Network: A Machine Learning App,0.752,2283,the three ConvLSTM layers. All the input-to-state and state-to-state kernels are of size 5 × 5. Our experiments show that the ConvLSTM networks perform consiste
1506.04214v2,1506.04214v2:22738-25049,Convolutional LSTM Network: A Machine Learning App,0.764,2311,"the prediction results, we find that the model can separate the overlapping digits successfully and predict the overall motion although the predicted digits are"
1506.04214v2,1506.04214v2:25050-27039,Convolutional LSTM Network: A Machine Learning App,0.683,1989,"results. Also, we try three different initialization schemes for ROVER: ROVER1 computes the optical flow of the last two observed frames and performs semi-Lagra"
1506.04214v2,1506.04214v2:27040-28796,Convolutional LSTM Network: A Machine Learning App,0.597,1756,10). 6We use an open-source project to calculate the optical flow: http://sourceforge.net/ projects/varflow/ 7 Table 2: Comparison of the average scores of diff
