id,question_type,span_index,arxiv_id,quote_chars,oracle_rank,chars_before_hit,hit_chunk_chars,oracle@1,oracle@5,oracle@10
a001,ambiguous,0,2306.12873v3,809,,,,False,False,False
a001,ambiguous,1,2306.12873v3,640,10.0,18494.0,1780.0,False,False,True
a001,ambiguous,2,2308.15560v2,1162,4.0,6551.0,1905.0,False,True,True
a002,ambiguous,0,2308.15560v2,1162,4.0,6551.0,1905.0,False,True,True
a002,ambiguous,1,2312.15796v2,1117,1.0,0.0,1914.0,True,True,True
a002,ambiguous,2,2212.12794v2,984,1.0,0.0,1763.0,True,True,True
a003,ambiguous,0,2002.00469v3,837,,,,False,False,False
a003,ambiguous,1,2308.15560v2,1162,4.0,6551.0,1905.0,False,True,True
a003,ambiguous,2,2403.10555v1,983,1.0,0.0,2216.0,True,True,True
a004,ambiguous,0,2306.12873v3,640,10.0,18494.0,1780.0,False,False,True
a004,ambiguous,1,2310.19822v1,948,2.0,1963.0,2034.0,False,True,True
a004,ambiguous,2,2503.19940v1,557,1.0,0.0,2188.0,True,True,True
a005,ambiguous,0,2306.12873v3,997,1.0,0.0,1044.0,True,True,True
a005,ambiguous,1,2306.12873v3,369,3.0,4288.0,2362.0,False,True,True
a006,ambiguous,0,2308.15560v2,1006,1.0,0.0,2337.0,True,True,True
a006,ambiguous,1,2312.15796v2,1117,1.0,0.0,1914.0,True,True,True
a006,ambiguous,2,2401.15305v2,1227,1.0,0.0,2169.0,True,True,True
c001,comparative,0,1506.04214v2,153,1.0,0.0,1921.0,True,True,True
c001,comparative,1,1706.03458v2,621,1.0,0.0,1727.0,True,True,True
c002,comparative,0,1506.04214v2,169,8.0,13803.0,2177.0,False,False,True
c002,comparative,1,2507.19513v1,490,1.0,0.0,1835.0,True,True,True
c003,comparative,0,2212.12794v2,230,3.0,3702.0,1979.0,False,True,True
c003,comparative,1,2312.15796v2,708,1.0,0.0,1861.0,True,True,True
c004,comparative,0,2212.12794v2,500,1.0,0.0,2312.0,True,True,True
c004,comparative,1,2312.15796v2,57,1.0,0.0,1559.0,True,True,True
c005,comparative,0,2212.12794v2,500,1.0,0.0,2312.0,True,True,True
c005,comparative,1,2312.15796v2,352,1.0,0.0,2027.0,True,True,True
c006,comparative,0,2212.12794v2,298,3.0,2393.0,1768.0,False,True,True
c006,comparative,1,2306.12873v3,695,1.0,0.0,2303.0,True,True,True
c007,comparative,0,2212.12794v2,885,3.0,3765.0,2046.0,False,True,True
c007,comparative,1,2306.12873v3,369,3.0,4288.0,2362.0,False,True,True
c008,comparative,0,2212.12794v2,587,1.0,0.0,2102.0,True,True,True
c008,comparative,1,2306.12873v3,425,1.0,0.0,2362.0,True,True,True
c009,comparative,0,2509.09052v1,1309,1.0,0.0,2345.0,True,True,True
c009,comparative,1,2403.15598v1,1132,1.0,0.0,2227.0,True,True,True
c010,comparative,0,2312.15796v2,1103,1.0,0.0,2107.0,True,True,True
c010,comparative,1,2306.12873v3,667,1.0,0.0,2169.0,True,True,True
c011,comparative,0,2312.15796v2,1117,1.0,0.0,1914.0,True,True,True
c011,comparative,1,2310.19822v1,1161,1.0,0.0,2198.0,True,True,True
c012,comparative,0,2212.12794v2,984,1.0,0.0,1763.0,True,True,True
c012,comparative,1,2306.12873v3,1264,1.0,0.0,2195.0,True,True,True
c013,comparative,0,2308.15560v2,1006,1.0,0.0,2337.0,True,True,True
c013,comparative,1,2401.15305v2,1227,1.0,0.0,2169.0,True,True,True
c014,comparative,0,2403.15598v1,909,1.0,0.0,2004.0,True,True,True
c014,comparative,1,2407.02089v2,1196,1.0,0.0,2126.0,True,True,True
f001,factual,0,1506.04214v2,208,1.0,0.0,2292.0,True,True,True
f002,factual,0,1506.04214v2,991,1.0,0.0,2277.0,True,True,True
f003,factual,0,1506.04214v2,480,1.0,0.0,1756.0,True,True,True
f004,factual,0,1506.04214v2,135,1.0,0.0,2277.0,True,True,True
f005,factual,0,1506.04214v2,133,2.0,2283.0,2177.0,False,True,True
f006,factual,0,2212.12794v2,230,3.0,3702.0,1979.0,False,True,True
f007,factual,0,2212.12794v2,215,1.0,0.0,1763.0,True,True,True
f008,factual,0,2212.12794v2,143,7.0,10949.0,2237.0,False,False,True
f009,factual,0,2212.12794v2,172,1.0,0.0,1930.0,True,True,True
f010,factual,0,2212.12794v2,271,,,,False,False,False
f011,factual,0,1706.03458v2,704,1.0,0.0,1692.0,True,True,True
f012,factual,0,1706.03458v2,460,,,,False,False,False
f013,factual,0,2507.19513v1,1155,1.0,0.0,1835.0,True,True,True
f014,factual,0,1706.03458v2,796,1.0,0.0,1727.0,True,True,True
f015,factual,0,1706.03458v2,98,1.0,0.0,1384.0,True,True,True
f016,factual,0,2312.15796v2,536,1.0,0.0,1750.0,True,True,True
f017,factual,0,2312.15796v2,352,1.0,0.0,2027.0,True,True,True
f018,factual,0,2312.15796v2,143,,,,False,False,False
f019,factual,0,2312.15796v2,565,3.0,4075.0,2196.0,False,True,True
f020,factual,0,2312.15796v2,758,2.0,1460.0,2158.0,False,True,True
m001,multi_hop,0,2403.10555v1,983,1.0,0.0,2216.0,True,True,True
m001,multi_hop,1,2306.12873v3,914,1.0,0.0,2245.0,True,True,True
m002,multi_hop,0,2306.12873v3,822,1.0,0.0,1952.0,True,True,True
m002,multi_hop,1,2212.12794v2,857,1.0,0.0,2101.0,True,True,True
m003,multi_hop,0,2003.12140v2,796,1.0,0.0,2322.0,True,True,True
m003,multi_hop,1,1506.04214v2,925,1.0,0.0,1844.0,True,True,True
m004,multi_hop,0,2008.08626v2,1234,1.0,0.0,2148.0,True,True,True
m004,multi_hop,1,2002.00469v3,934,1.0,0.0,2221.0,True,True,True
m005,multi_hop,0,2505.24429v2,913,1.0,0.0,2193.0,True,True,True
m005,multi_hop,1,2212.12794v2,1086,5.0,8166.0,1721.0,False,True,True
m006,multi_hop,0,2408.11438v3,1326,1.0,0.0,2370.0,True,True,True
m006,multi_hop,1,2002.00469v3,837,,,,False,False,False
m007,multi_hop,0,2601.09467v1,1128,1.0,0.0,2399.0,True,True,True
m007,multi_hop,1,2211.02556v1,1822,,,,False,False,False
m008,multi_hop,0,2603.04461v1,677,1.0,0.0,2265.0,True,True,True
m008,multi_hop,1,2007.04417v2,663,4.0,4916.0,2368.0,False,True,True
m009,multi_hop,0,1905.09771v1,717,1.0,0.0,1707.0,True,True,True
m009,multi_hop,1,1506.04214v2,1119,1.0,0.0,1717.0,True,True,True
