id,question_type,difficulty,n_evidence,n_papers,n_relevant_chunks,n_retrieved,scorable,mrr,first_hit_rank,recall@1,coverage@1,ndcg@1,hit_spans@1,recall@3,coverage@3,ndcg@3,hit_spans@3,recall@5,coverage@5,ndcg@5,hit_spans@5,recall@10,coverage@10,ndcg@10,hit_spans@10,recall@20,coverage@20,ndcg@20,hit_spans@20,recall@B5000,coverage@B5000,k@B5000,hit_spans@B5000,recall@B10000,coverage@B10000,k@B10000,hit_spans@B10000,recall@B20000,coverage@B20000,k@B20000,hit_spans@B20000,recall@B40000,coverage@B40000,k@B40000,hit_spans@B40000
a001,ambiguous,hard,3,2,3,50,True,0.16666666666666666,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.6666666666666666,0.16716045496620227,0;1,1.0,0.6666666666666666,0.16716045496620227,0;1,0.0,0.0,2.0,,0.0,0.0,3.0,,1.0,0.6666666666666666,6.0,0;1,1.0,0.6666666666666666,12.0,0;1
a002,ambiguous,medium,3,3,4,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,10.0,
a003,ambiguous,medium,3,3,3,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,
a004,ambiguous,hard,3,3,4,50,True,0.08333333333333333,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.3333333333333333,0.10549558423511038,0,0.0,0.0,1.0,,0.0,0.0,2.0,,0.0,0.0,6.0,,0.0,0.0,11.0,
a005,ambiguous,hard,2,1,3,50,True,0.058823529411764705,17.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.1125388887954676,0,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,6.0,,0.0,0.0,11.0,
a006,ambiguous,hard,3,3,4,50,True,0.1,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.3333333333333333,0.11284514134893527,1,1.0,0.3333333333333333,0.11284514134893527,1,0.0,0.0,1.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,
c001,comparative,medium,2,2,3,50,True,1.0,1.0,1.0,0.5,1.0,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,1.0,1,1.0,0.5,2.0,1,1.0,0.5,4.0,1,1.0,0.5,9.0,1
c002,comparative,hard,2,2,3,50,True,0.038461538461538464,26.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,2.0,,0.0,0.0,5.0,,0.0,0.0,10.0,
c003,comparative,medium,2,2,3,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,2.0,,0.0,0.0,5.0,,0.0,0.0,11.0,
c004,comparative,easy,2,2,2,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,2.0,,0.0,0.0,6.0,,0.0,0.0,11.0,
