id,question_type,span_index,arxiv_id,quote_chars,oracle_rank,chars_before_hit,hit_chunk_chars,oracle@1,oracle@5,oracle@10
a001,ambiguous,0,2306.12873v3,809,8.0,22919.0,3749.0,False,False,True
a001,ambiguous,1,2306.12873v3,640,8.0,29151.0,3749.0,False,False,True
a001,ambiguous,2,2308.15560v2,1162,,,,False,False,False
a002,ambiguous,0,2308.15560v2,1162,,,,False,False,False
a002,ambiguous,1,2312.15796v2,1117,1.0,0.0,4034.0,True,True,True
a002,ambiguous,2,2212.12794v2,984,,,,False,False,False
a003,ambiguous,0,2002.00469v3,837,,,,False,False,False
a003,ambiguous,1,2308.15560v2,1162,,,,False,False,False
a003,ambiguous,2,2403.10555v1,983,1.0,0.0,4453.0,True,True,True
a004,ambiguous,0,2306.12873v3,640,8.0,29151.0,3749.0,False,False,True
a004,ambiguous,1,2310.19822v1,948,1.0,0.0,4280.0,True,True,True
a004,ambiguous,2,2503.19940v1,557,1.0,0.0,3983.0,True,True,True
a005,ambiguous,0,2306.12873v3,997,1.0,0.0,1063.0,True,True,True
a005,ambiguous,1,2306.12873v3,369,,,,False,False,False
a006,ambiguous,0,2308.15560v2,1006,,,,False,False,False
a006,ambiguous,1,2312.15796v2,1117,1.0,0.0,4034.0,True,True,True
a006,ambiguous,2,2401.15305v2,1227,1.0,0.0,4405.0,True,True,True
c001,comparative,0,1506.04214v2,153,,,,False,False,False
c001,comparative,1,1706.03458v2,621,1.0,0.0,3308.0,True,True,True
c002,comparative,0,1506.04214v2,169,3.0,8337.0,3891.0,False,True,True
c002,comparative,1,2507.19513v1,490,1.0,0.0,3226.0,True,True,True
c003,comparative,0,2212.12794v2,230,,,,False,False,False
c003,comparative,1,2312.15796v2,708,1.0,0.0,3407.0,True,True,True
c004,comparative,0,2212.12794v2,500,,,,False,False,False
c004,comparative,1,2312.15796v2,57,,,,False,False,False
c005,comparative,0,2212.12794v2,500,,,,False,False,False
c005,comparative,1,2312.15796v2,352,5.0,16036.0,4211.0,False,True,True
c006,comparative,0,2212.12794v2,298,1.0,0.0,3460.0,True,True,True
c006,comparative,1,2306.12873v3,695,,,,False,False,False
c007,comparative,0,2212.12794v2,885,2.0,2692.0,3875.0,False,True,True
c007,comparative,1,2306.12873v3,369,,,,False,False,False
c008,comparative,0,2212.12794v2,587,1.0,0.0,4062.0,True,True,True
c008,comparative,1,2306.12873v3,425,,,,False,False,False
c009,comparative,0,2509.09052v1,1309,1.0,0.0,4539.0,True,True,True
c009,comparative,1,2403.15598v1,1132,1.0,0.0,4450.0,True,True,True
c010,comparative,0,2312.15796v2,1103,,,,False,False,False
c010,comparative,1,2306.12873v3,667,1.0,0.0,4484.0,True,True,True
c011,comparative,0,2312.15796v2,1117,1.0,0.0,4034.0,True,True,True
c011,comparative,1,2310.19822v1,1161,1.0,0.0,4330.0,True,True,True
c012,comparative,0,2212.12794v2,984,,,,False,False,False
c012,comparative,1,2306.12873v3,1264,,,,False,False,False
c013,comparative,0,2308.15560v2,1006,,,,False,False,False
c013,comparative,1,2401.15305v2,1227,1.0,0.0,4405.0,True,True,True
c014,comparative,0,2403.15598v1,909,1.0,0.0,4454.0,True,True,True
c014,comparative,1,2407.02089v2,1196,1.0,0.0,4569.0,True,True,True
f001,factual,0,1506.04214v2,208,,,,False,False,False
f002,factual,0,1506.04214v2,991,1.0,0.0,3414.0,True,True,True
