arxiv_id,engine,n_pages,raw_chars,clean_chars,references_found,n_sections,status,error,chars,chars_per_page,alpha_ratio,wordlike_ratio,cid_hits,mean_word_len,title
1506.04214v2,pymupdf,12,37325,32178,True,6,clean,,32178,2681.5,0.928,0.85,0,5.23,Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting
2304.14131v2,pymupdf,24,68708,57461,True,14,clean,,57461,2394.2,0.916,0.823,0,5.65,TempEE: Temporal-Spatial Parallel Transformer for Radar Echo Extrapolation Beyond Auto-Regression
2212.02952v2,pymupdf,9,27383,23956,True,15,clean,,23956,2661.8,0.892,0.791,0,5.48,Simple Baseline for Weather Forecasting Using Spatiotemporal Context Aggregation Network
2002.05398v3,pymupdf,22,66016,57440,True,9,clean,,57440,2610.9,0.922,0.848,0,5.22,Ensemble methods for neural network-based weather forecasts
2403.13458v2,pymupdf,27,75420,59219,True,16,clean,,59219,2193.3,0.9,0.807,0,5.35,Uncertainty quantification for data-driven weather models
2408.11438v3,pymupdf,32,78289,71019,True,59,clean,,71019,2219.3,0.888,0.726,0,5.34,Benchmarking AI-based data assimilation to advance data-driven global weather forecasting
2107.01343v1,pymupdf,28,51848,40296,True,16,clean,,40296,1439.1,0.901,0.779,0,5.0,Short-term probabilistic photovoltaic power forecast based on deep convolutional long short-term memory network and kernel density estimation
2608.21812v1,pymupdf,53,130287,126913,True,26,clean,,126913,2394.6,0.902,0.826,0,6.54,Video Diffusion for Satellite-based High-Dynamical-Fidelity Precipitation (HiDFiP) Field Generation
2008.10679v2,pymupdf,13,42618,27420,True,5,clean,,27420,2109.2,0.943,0.826,0,5.43,Machine learning for weather and climate are worlds apart
2512.01062v1,pymupdf,9,23673,14510,True,6,clean,,14510,1612.2,0.899,0.828,0,5.42,PIANO: Physics-informed Dual Neural Operator for Precipitation Nowcasting
2601.01605v1,pymupdf,12,57657,46294,True,6,clean,,46294,3857.8,0.932,0.873,0,6.46,REE-TTT: Highly Adaptive Radar Echo Extrapolation Based on Test-Time Training
2011.04452v1,pymupdf,6,19302,17461,True,10,clean,,17461,2910.2,0.973,0.945,0,5.36,Comparison between ARIMA and Deep Learning Models for Temperature Forecasting
2007.04417v2,pymupdf,10,43203,35766,True,20,clean,,35766,3576.6,0.935,0.889,0,5.12,SmaAt-UNet: Precipitation Nowcasting using a Small Attention-UNet Architecture
2308.15560v2,pymupdf,44,79099,65271,True,13,clean,,65271,1483.4,0.933,0.859,0,5.35,WeatherBench 2: A benchmark for the next generation of data-driven global weather models
2601.09467v1,pymupdf,16,57351,50514,True,2,clean,,50514,3157.1,0.944,0.886,0,6.15,Searth Transformer: A Transformer Architecture Incorporating Earth's Geospheric Physical Priors for Global Mid-Range Weather Forecasting
2008.01798v2,pymupdf,11,33998,27474,True,9,clean,,27474,2497.6,0.921,0.822,0,5.38,Physics-informed Tensor-train ConvLSTM for Volumetric Velocity Forecasting of Loop Current
2410.13314v1,pymupdf,13,56018,47957,True,18,clean,,47957,3689.0,0.924,0.856,0,5.81,Precipitation Nowcasting Using Diffusion Transformer with Causal Attention
2603.22320v3,pymupdf,16,67141,44190,True,10,clean,,44190,2761.9,0.949,0.917,0,6.07,How Can Machine Learning Emulators Best Support Climate Science?
1907.08069v2,pymupdf,10,21721,19513,True,8,clean,,19513,1951.3,0.931,0.851,0,5.48,Precipitation Nowcasting with Star-Bridge Networks
2503.22724v1,pymupdf,5,24516,20204,True,9,clean,,20204,4040.8,0.937,0.872,0,5.91,A Spatial-temporal Deep Probabilistic Diffusion Model for Reliable Hail Nowcasting with Radar Echo Extrapolation
2406.19615v1,pymupdf,10,39900,18531,True,17,clean,,18531,1853.1,0.912,0.804,0,5.29,VarteX: Enhancing Weather Forecast through Distributed Variable Representation
2407.11050v1,pymupdf,13,41719,35270,True,24,clean,,35270,2713.1,0.911,0.793,0,5.15,Graph Neural Networks and Spatial Information Learning for Post-Processing Ensemble Weather Forecasts
2403.15598v1,pymupdf,9,30448,22975,True,7,clean,,22975,2552.8,0.945,0.904,0,5.47,An ensemble of data-driven weather prediction models for operational sub-seasonal forecasting
2506.10868v1,pymupdf,14,23960,17928,True,9,clean,,17928,1280.6,0.899,0.769,0,5.03,A multi-scale loss formulation for learning a probabilistic model with proper score optimisation
2312.01197v1,pymupdf,6,16720,14135,True,7,clean,,14135,2355.8,0.964,0.929,0,5.72,Short-term Precipitation Forecasting in The Netherlands: An Application of Convolutional LSTM neural networks to weather radar data
2603.13818v1,pymupdf,10,50252,44010,True,8,clean,,44010,4401.0,0.919,0.822,0,6.21,PA-Net: Precipitation-Adaptive Mixture-of-Experts for Long-Tail Rainfall Nowcasting
2506.09891v2,pymupdf,37,95817,39690,True,10,degraded,,39690,1072.7,0.928,0.862,0,5.52,Causal Climate Emulation with Bayesian Filtering
2210.12853v1,pymupdf,8,38777,34910,True,36,clean,,34910,4363.8,0.883,0.785,0,5.5,Deep-Learning-Based Precipitation Nowcasting with Ground Weather Station Data and Radar Data
2312.12455v2,pymupdf,18,59411,47958,True,34,clean,,47958,2664.3,0.888,0.739,0,5.16,FengWu-4DVar: Coupling the Data-driven Weather Forecasting Model with 4D Variational Assimilation
2304.09070v1,pymupdf,10,33194,27151,True,6,clean,,27151,2715.1,0.947,0.865,0,5.32,M-ENIAC: A machine learning recreation of the first successful numerical weather forecasts
2312.08264v1,pymupdf,12,38286,33793,True,8,clean,,33793,2816.1,0.958,0.909,0,5.76,Kunyu: A High-Performing Global Weather Model Beyond Regression Losses
2312.15796v2,pymupdf,96,168333,147838,True,82,clean,,147838,1540.0,0.896,0.735,0,4.98,GenCast: Diffusion-based ensemble forecasting for medium-range weather
2006.08209v1,pymupdf,25,47903,39454,True,11,clean,,39454,1578.2,0.933,0.888,0,5.4,Multimodal fusion for sea level anomaly forecasting
2503.19943v1,pymupdf,28,60156,53380,True,24,clean,,53380,1906.4,0.91,0.831,0,5.69,A Spatiotemporal Radar-Based Precipitation Model for Water Level Prediction and Flood Forecasting
2311.03721v1,pymupdf,34,121334,121215,False,11,clean,,121215,3565.1,0.902,0.802,0,5.49,ClimateSet: A Large-Scale Climate Model Dataset for Machine Learning
1905.09932v1,pymupdf,9,45477,36698,True,10,clean,,36698,4077.6,0.953,0.915,0,5.55,Precipitation Nowcasting with Satellite Imagery
2503.19940v1,pymupdf,11,46876,34649,True,23,clean,,34649,3149.9,0.923,0.854,0,6.31,FuXi-RTM: A Physics-Guided Prediction Framework with Radiative Transfer Modeling
2003.12140v2,pymupdf,17,39602,32303,True,27,clean,,32303,1900.2,0.938,0.864,0,5.23,MetNet: A Neural Weather Model for Precipitation Forecasting
2508.18486v2,pymupdf,18,37010,23475,True,13,clean,,23475,1304.2,0.932,0.855,0,5.48,Huracan: A skillful end-to-end data-driven system for ensemble data assimilation and weather prediction
2312.12462v4,pymupdf,18,64567,51145,True,10,clean,,51145,2841.4,0.946,0.901,0,5.76,Towards an end-to-end artificial intelligence driven global weather forecasting system
2009.14573v6,pymupdf,15,30073,26398,True,7,clean,,26398,1759.9,0.929,0.851,0,5.44,Rain-Code Fusion : Code-to-code ConvLSTM Forecasting Spatiotemporal Precipitation
1611.03403v1,pymupdf,40,112494,100308,True,3,clean,,100308,2507.7,0.95,0.876,0,5.78,Synergistic Dynamic Theory of Complex Coevolutionary Systems: Disentangling Nonlinear Spatiotemporal Controls on Precipitation
2510.03305v1,pymupdf,42,118423,93875,True,9,clean,,93875,2235.1,0.948,0.895,0,6.01,Machine Learning Workflows in Climate Modeling: Design Patterns and Insights from Case Studies
1812.10915v1,pymupdf,5,14163,10579,True,8,clean,,10579,2115.8,0.951,0.894,0,5.29,Spatiotemporal Data Fusion for Precipitation Nowcasting
2408.06400v2,pymupdf,45,48698,48680,False,16,degraded,,48680,1081.8,0.914,0.817,0,5.52,MetMamba: Regional Weather Forecasting with Spatial-Temporal Mamba Model
