id,question_type,difficulty,n_evidence,n_papers,n_relevant_chunks,n_retrieved,scorable,mrr,first_hit_rank,recall@1,coverage@1,ndcg@1,hit_spans@1,recall@3,coverage@3,ndcg@3,hit_spans@3,recall@5,coverage@5,ndcg@5,hit_spans@5,recall@10,coverage@10,ndcg@10,hit_spans@10,recall@20,coverage@20,ndcg@20,hit_spans@20
a001,ambiguous,hard,3,2,5,20,True,0.3333333333333333,3.0,0.0,0.0,0.0,,1.0,0.6666666666666666,0.23463936301137822,0;1,1.0,0.6666666666666666,0.30078518014914984,0;1,1.0,0.6666666666666666,0.30078518014914984,0;1,1.0,0.6666666666666666,0.30078518014914984,0;1
a002,ambiguous,medium,3,3,6,20,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
a003,ambiguous,medium,3,3,4,20,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
a004,ambiguous,hard,3,3,5,20,True,0.06666666666666667,15.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.3333333333333333,0.08479005131840403,0
a005,ambiguous,hard,2,1,3,20,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
a006,ambiguous,hard,3,3,6,20,True,0.058823529411764705,17.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.6666666666666666,0.14258343690380615,0;1
c001,comparative,medium,2,2,3,20,True,1.0,1.0,1.0,0.5,1.0,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.6713860725233041,1,1.0,0.5,0.6713860725233041,1,1.0,0.5,0.6713860725233041,1
c002,comparative,hard,2,2,3,20,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
c003,comparative,medium,2,2,4,20,True,0.07692307692307693,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.10253313861822189,0
c004,comparative,easy,2,2,3,20,True,0.5,2.0,0.0,0.0,0.0,,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.2960819109658652,0
c005,comparative,medium,2,2,3,20,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
c006,comparative,medium,2,2,2,20,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
c007,comparative,easy,2,2,3,20,True,0.25,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.20210734650054757,0,1.0,0.5,0.20210734650054757,0,1.0,0.5,0.20210734650054757,0
c008,comparative,hard,2,2,3,20,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
c009,comparative,hard,2,2,4,20,True,1.0,1.0,1.0,0.5,1.0,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.3903800499921017,1,1.0,1.0,0.5205067333228022,0;1,1.0,1.0,0.5205067333228022,0;1
c010,comparative,medium,2,2,3,20,True,1.0,1.0,1.0,0.5,1.0,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.46927872602275644,1
