arxiv_id,token_length,token
2312.15796v2,477,"LVEURE5YTw2mDOcRNApv+kBu9s=">AB73icbVDLSgNBEOyNrxhfUY9eBoOQU9gVX8eAF48RzAOSJcxOZpMhs7PrTK8QlvyEFw+KePV3vPk3TpI9aGJBQ1HVTXdXkEh0HW/ncLa+sbmVnG7tLO7t39QPjxqmTjVjDdZLGPdCajhUijeRIGSdxLNaRI3g7GtzO/cS1EbF6"
2312.15796v2,488,"1_base64="pLVEURE5YTw2mDOcRNApv+kBu9s=">AB73icbVDLSgNBEOyNrxhfUY9eBoOQU9gVX8eAF48RzAOSJcxOZpMhs7PrTK8QlvyEFw+KePV3vPk3TpI9aGJBQ1HVTXdXkEh0HW/ncLa+sbmVnG7tLO7t39QPjxqmTjVjDdZLGPdCajhUijeRIGSdxLNaRI3g7G"
2312.15796v2,489,"1_base64="7RWbPq2PF8bctPxL0gKS1s6qPo=">AB7HicbVBNS8NAEJ34WetX1aOXxSL0VBLx61jw4rGCaYtLJvtpF262YTdjVBKf4MXD4p49Qd589+4bXPQ1gcDj/dmJkXpoJr47rfzsrq2vrGZmGruL2zu7dfOjhs6CRTDH2WiES1QqpRcIm+4UZgK1VI41BgMxzeT"
2312.15796v2,488,"1_base64="pLVEURE5YTw2mDOcRNApv+kBu9s=">AB73icbVDLSgNBEOyNrxhfUY9eBoOQU9gVX8eAF48RzAOSJcxOZpMhs7PrTK8QlvyEFw+KePV3vPk3TpI9aGJBQ1HVTXdXkEh0HW/ncLa+sbmVnG7tLO7t39QPjxqmTjVjDdZLGPdCajhUijeRIGSdxLNaRI3g7G"
2312.15796v2,487,"1_base64="k7S9hMrk67oWzTDFSMw89rgny8=">AB7HicbVBNTwIxEJ3FL8Qv1KOXRmLCiewSv4kXjxi4gIRVtItXWjotpu2a0I2/AYvHjTGqz/Im/GAntQ8CWTvLw3k5l5YcKZNq7RTW1jc2t4rbpZ3dvf2D8uFRS8tUEeoTyaXqhFhTzgT1DTOcdhJFcRxy2g7HNzO"
2312.15796v2,488,"1_base64="/W/JZO7kntHf9ptnxQzahrK2oU=">AB7HicbVBNSwMxEJ2tX7V+VT16CRahp7Irfh0LXjxJBbctmvJptk2NMkuSVYoS3+DFw+KePUHefPfmLZ70NYHA4/3ZpiZFyacaeO6305hZXVtfaO4Wdra3tndK+8fNHWcKkJ9EvNYtUOsKWeS+oYZTtuJoliEnLbC"
2312.15796v2,477,"3dOGwy9KYfH8biJF6RkSkUgo8w=">AB7HicbVBNTwIxEJ3FL8Qv1KOXRmLCiewSv4kXjxi4gIRVtItXWjotpu2a0I2/AYvHjTGqz/Im/GAntQ8CWTvLw3k5l5YcKZNq7RTW1jc2t4rbpZ3dvf2D8uFRS8tUEeoTyaXqhFhTzgT1DTOcdhJFcRxy2g7HNzO/USVZlLcm0"
2312.15796v2,479,"r/0JyZpeY2PyQ+iAwqtPio/d5s=">AB7HicbVBNTwIxEJ3iF+IX6tFLIzHhRHaNX0cSLx4xYEIK+mWLjR0u5u2a0I2/AYvHjTGqz/Im/GAntQ8CWTvLw3k5l5QSK4No7zjQpr6xubW8Xt0s7u3v5B+fCopeNUebRWMSqExDNBJfM9wI1kUI1EgWDsY38789hNTmseyaS"
2312.15796v2,477,"LVEURE5YTw2mDOcRNApv+kBu9s=">AB73icbVDLSgNBEOyNrxhfUY9eBoOQU9gVX8eAF48RzAOSJcxOZpMhs7PrTK8QlvyEFw+KePV3vPk3TpI9aGJBQ1HVTXdXkEh0HW/ncLa+sbmVnG7tLO7t39QPjxqmTjVjDdZLGPdCajhUijeRIGSdxLNaRI3g7GtzO/cS1EbF6"
2312.15796v2,474,"QY7AxEsa4Bx5JyY0eZ4HA/fwzY=">AB7HicbVBNTwIxEJ3FL8Qv1KOXRmLCiewSv4kXjxi4gIRVtItXWjotpu2a0I2/AYvHjTGqz/Im/GAntQ8CWTvLw3k5l5YcKZNq7RTW1jc2t4rbpZ3dvf2D8uFRS8tUEeoTyaXqhFhTzgT1DTOcdhJFcRxy2g7HNzO/USVZlLcm0"
2312.15796v2,478,"ogMq4tGvIk3eJhaVrNF/K+5nlw=">AB7HicbVBNTwIxEJ31E/EL9eilkZhwIrvEryOJF4+YsECElXRLFxq67abtmpANv8GLB43x6g/y5r+xwB4UfMkL+/NZGZemHCmjet+O2vrG5tb24Wd4u7e/sFh6ei4pWqCPWJ5FJ1QqwpZ4L6hlO4miOA45bYfj25nfqJKMymaZp"
2312.15796v2,479,"1OWJmZa7pTBrCzmVi6j8myfKWQ=">AB7HicbVBNSwMxEJ31s9avqkcvwSL0VHaLX8eCF09SwW2L7VqyabYNzSZLkhXK0t/gxYMiXv1B3vw3pu0etPXBwO9GWbmhQln2rjut7Oyura+sVnYKm7v7O7tlw4Om1qmilCfSC5VO8Saciaob5jhtJ0oiuOQ01Y4up76rSeqNJ"
2312.15796v2,474,"bhae2qJaXQsVEtNxz9Icprbc=">AB7HicbVBNSwMxEJ34WetX1aOXYBF6Krvi17HgxZNU6LbFdi3ZNuGZrNLkhXK0t/gxYMiXv1B3vw3pu0etPXBwO9GWbmBYng2jON1pZXVvf2CxsFbd3dvf2SweHTR2nijKPxiJW7YBoJrhknuFGsHaiGIkCwVrB6Gbqt56Y0jyWDT"
2312.14980v1,72,"wMjM3MDQ5OSwiZXhwIjoxNzM1NjAzMTk5fQ.eyJpZCI6ImU5OWY2MjcyLWQ2ZDgtNDZmZC1h"
2312.14980v1,73,"OGVmLTZiYjg4ODZkN2JiMCIsImRhdGEiOnt9LCJyYW5kb20iOiI0NWYzZDI5ZGQ4ZmQ2NWM0O"
2008.08626v2,50,"ots=lI5gpir1RV&amp;sig=FuhXqkYSMxhz2jLI2T8144HX6fs"
