id,question_type,span_index,arxiv_id,quote_chars,oracle_rank,oracle@1,oracle@5,oracle@10
a001,ambiguous,0,2306.12873v3,809,,False,False,False
a001,ambiguous,1,2306.12873v3,640,10.0,False,False,True
a001,ambiguous,2,2308.15560v2,1162,4.0,False,True,True
a002,ambiguous,0,2308.15560v2,1162,4.0,False,True,True
a002,ambiguous,1,2312.15796v2,1117,1.0,True,True,True
a002,ambiguous,2,2212.12794v2,984,1.0,True,True,True
a003,ambiguous,0,2002.00469v3,837,,False,False,False
a003,ambiguous,1,2308.15560v2,1162,4.0,False,True,True
a003,ambiguous,2,2403.10555v1,983,1.0,True,True,True
a004,ambiguous,0,2306.12873v3,640,10.0,False,False,True
a004,ambiguous,1,2310.19822v1,948,2.0,False,True,True
a004,ambiguous,2,2503.19940v1,557,1.0,True,True,True
a005,ambiguous,0,2306.12873v3,997,1.0,True,True,True
a005,ambiguous,1,2306.12873v3,369,3.0,False,True,True
a006,ambiguous,0,2308.15560v2,1006,1.0,True,True,True
a006,ambiguous,1,2312.15796v2,1117,1.0,True,True,True
a006,ambiguous,2,2401.15305v2,1227,1.0,True,True,True
c001,comparative,0,1506.04214v2,153,1.0,True,True,True
c001,comparative,1,1706.03458v2,621,1.0,True,True,True
c002,comparative,0,1506.04214v2,169,8.0,False,False,True
c002,comparative,1,2507.19513v1,490,1.0,True,True,True
c003,comparative,0,2212.12794v2,230,3.0,False,True,True
c003,comparative,1,2312.15796v2,708,1.0,True,True,True
c004,comparative,0,2212.12794v2,500,1.0,True,True,True
c004,comparative,1,2312.15796v2,57,1.0,True,True,True
c005,comparative,0,2212.12794v2,500,1.0,True,True,True
c005,comparative,1,2312.15796v2,352,1.0,True,True,True
c006,comparative,0,2212.12794v2,298,3.0,False,True,True
c006,comparative,1,2306.12873v3,695,1.0,True,True,True
c007,comparative,0,2212.12794v2,885,3.0,False,True,True
c007,comparative,1,2306.12873v3,369,3.0,False,True,True
c008,comparative,0,2212.12794v2,587,1.0,True,True,True
c008,comparative,1,2306.12873v3,425,1.0,True,True,True
c009,comparative,0,2509.09052v1,1309,1.0,True,True,True
c009,comparative,1,2403.15598v1,1132,1.0,True,True,True
c010,comparative,0,2312.15796v2,1103,1.0,True,True,True
c010,comparative,1,2306.12873v3,667,1.0,True,True,True
c011,comparative,0,2312.15796v2,1117,1.0,True,True,True
c011,comparative,1,2310.19822v1,1161,1.0,True,True,True
c012,comparative,0,2212.12794v2,984,1.0,True,True,True
c012,comparative,1,2306.12873v3,1264,1.0,True,True,True
c013,comparative,0,2308.15560v2,1006,1.0,True,True,True
c013,comparative,1,2401.15305v2,1227,1.0,True,True,True
c014,comparative,0,2403.15598v1,909,1.0,True,True,True
c014,comparative,1,2407.02089v2,1196,1.0,True,True,True
f001,factual,0,1506.04214v2,208,1.0,True,True,True
f002,factual,0,1506.04214v2,991,1.0,True,True,True
f003,factual,0,1506.04214v2,480,1.0,True,True,True
f004,factual,0,1506.04214v2,135,1.0,True,True,True
f005,factual,0,1506.04214v2,133,2.0,False,True,True
f006,factual,0,2212.12794v2,230,3.0,False,True,True
f007,factual,0,2212.12794v2,215,1.0,True,True,True
f008,factual,0,2212.12794v2,143,7.0,False,False,True
f009,factual,0,2212.12794v2,172,1.0,True,True,True
f010,factual,0,2212.12794v2,271,,False,False,False
f011,factual,0,1706.03458v2,704,1.0,True,True,True
f012,factual,0,1706.03458v2,460,,False,False,False
f013,factual,0,2507.19513v1,1155,1.0,True,True,True
