id,question_type,difficulty,n_evidence,n_papers,n_relevant_chunks,n_retrieved,scorable,mrr,first_hit_rank,recall@1,coverage@1,ndcg@1,hit_spans@1,recall@3,coverage@3,ndcg@3,hit_spans@3,recall@5,coverage@5,ndcg@5,hit_spans@5,recall@10,coverage@10,ndcg@10,hit_spans@10,recall@20,coverage@20,ndcg@20,hit_spans@20,recall@B5000,coverage@B5000,k@B5000,hit_spans@B5000,recall@B10000,coverage@B10000,k@B10000,hit_spans@B10000,recall@B20000,coverage@B20000,k@B20000,hit_spans@B20000,recall@B40000,coverage@B40000,k@B40000,hit_spans@B40000
a001,ambiguous,hard,3,2,5,50,True,0.3333333333333333,3.0,0.0,0.0,0.0,,1.0,0.6666666666666666,0.23463936301137822,0;1,1.0,0.6666666666666666,0.16958010263680806,0;1,1.0,0.6666666666666666,0.2716774977597197,0;1,1.0,0.6666666666666666,0.2716774977597197,0;1,0.0,0.0,2.0,,1.0,0.6666666666666666,4.0,0;1,1.0,0.6666666666666666,10.0,0;1,1.0,0.6666666666666666,20.0,0;1
a002,ambiguous,medium,3,3,6,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,18.0,
a003,ambiguous,medium,3,3,4,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,18.0,
a004,ambiguous,hard,3,3,5,50,True,0.038461538461538464,26.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,10.0,,0.0,0.0,20.0,
a005,ambiguous,hard,2,1,3,50,True,1.0,1.0,1.0,0.5,1.0,0,1.0,0.5,0.46927872602275644,0,1.0,0.5,0.46927872602275644,0,1.0,0.5,0.46927872602275644,0,1.0,0.5,0.46927872602275644,0,1.0,0.5,3.0,0,1.0,0.5,5.0,0,1.0,0.5,10.0,0,1.0,0.5,20.0,0
a006,ambiguous,hard,3,3,6,50,True,1.0,1.0,1.0,0.3333333333333333,1.0,1,1.0,0.3333333333333333,0.46927872602275644,1,1.0,0.3333333333333333,0.3391602052736161,1,1.0,0.3333333333333333,0.30260241349881345,1,1.0,0.3333333333333333,0.30260241349881345,1,1.0,0.3333333333333333,2.0,1,1.0,0.3333333333333333,4.0,1,1.0,0.3333333333333333,9.0,1,1.0,0.3333333333333333,19.0,1
c001,comparative,medium,2,2,3,50,True,0.5,2.0,0.0,0.0,0.0,,1.0,0.5,0.2960819109658652,1,1.0,0.5,0.2960819109658652,1,1.0,0.5,0.4525081529734507,1,1.0,0.5,0.4525081529734507,1,1.0,0.5,2.0,1,1.0,0.5,5.0,1,1.0,0.5,10.0,1,1.0,0.5,20.0,1
c002,comparative,hard,2,2,3,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,19.0,
c003,comparative,medium,2,2,4,50,True,0.06666666666666667,15.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.18949395586668,0;1,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,1.0,1.0,19.0,0;1
c004,comparative,easy,2,2,3,50,True,0.25,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.20210734650054757,0,1.0,0.5,0.20210734650054757,0,1.0,0.5,0.20210734650054757,0,0.0,0.0,2.0,,1.0,0.5,4.0,0,1.0,0.5,9.0,0,1.0,0.5,20.0,0
c005,comparative,medium,2,2,3,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,19.0,
c006,comparative,medium,2,2,2,50,True,0.08333333333333333,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.16569576576522954,1,0.0,0.0,2.0,,0.0,0.0,6.0,,0.0,0.0,10.0,,1.0,0.5,20.0,1
c007,comparative,easy,2,2,3,50,True,0.125,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.1480409554829326,0,1.0,0.5,0.27129679467565615,0,0.0,0.0,2.0,,0.0,0.0,5.0,,1.0,0.5,10.0,0,1.0,0.5,19.0,0
c008,comparative,hard,2,2,3,50,True,0.05263157894736842,19.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.10858087310103355,0,0.0,0.0,2.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,1.0,0.5,20.0,0
c009,comparative,hard,2,2,4,50,True,1.0,1.0,1.0,0.5,1.0,0,1.0,1.0,0.7653606369886217,0;1,1.0,1.0,0.6366824387328317,0;1,1.0,1.0,0.6366824387328317,0;1,1.0,1.0,0.7392155773510536,0;1,1.0,1.0,2.0,0;1,1.0,1.0,4.0,0;1,1.0,1.0,9.0,0;1,1.0,1.0,18.0,0;1
c010,comparative,medium,2,2,3,50,True,1.0,1.0,1.0,0.5,1.0,1,1.0,1.0,0.7653606369886217,0;1,1.0,1.0,0.7653606369886217,0;1,1.0,1.0,0.7653606369886217,0;1,1.0,1.0,0.7653606369886217,0;1,1.0,1.0,2.0,0;1,1.0,1.0,4.0,0;1,1.0,1.0,9.0,0;1,1.0,1.0,20.0,0;1
c011,comparative,hard,2,2,3,50,True,0.3333333333333333,3.0,0.0,0.0,0.0,,1.0,0.5,0.23463936301137822,1,1.0,0.5,0.23463936301137822,1,1.0,0.5,0.23463936301137822,1,1.0,1.0,0.35789520220410176,0;1,0.0,0.0,2.0,,1.0,0.5,4.0,1,1.0,0.5,9.0,1,1.0,1.0,20.0,0;1
c012,comparative,hard,2,2,4,50,True,0.25,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.16812753627111746,0,1.0,1.0,0.298254219601818,0;1,1.0,1.0,0.298254219601818,0;1,0.0,0.0,2.0,,1.0,0.5,4.0,0,1.0,1.0,9.0,0;1,1.0,1.0,18.0,0;1
c013,comparative,hard,2,2,4,50,True,1.0,1.0,1.0,0.5,1.0,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.3903800499921017,1,1.0,0.5,0.5294362295028773,1,1.0,1.0,0.6293571360240127,0;1,1.0,0.5,2.0,1,1.0,0.5,4.0,1,1.0,0.5,8.0,1,1.0,1.0,18.0,0;1
c014,comparative,hard,2,2,4,50,True,1.0,1.0,1.0,0.5,1.0,1,1.0,0.5,0.7039180890341347,1,1.0,0.5,0.5855700749881525,1,1.0,1.0,0.7030861797445797,0;1,1.0,1.0,0.7934116181649695,0;1,1.0,0.5,2.0,1,1.0,0.5,4.0,1,1.0,1.0,9.0,0;1,1.0,1.0,19.0,0;1
f001,factual,easy,1,1,1,50,True,0.2,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.38685280723454163,0,1.0,1.0,0.38685280723454163,0,1.0,1.0,0.38685280723454163,0,0.0,0.0,2.0,,0.0,0.0,4.0,,1.0,1.0,9.0,0,1.0,1.0,19.0,0
f002,factual,medium,1,1,2,50,True,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,2.0,0,1.0,1.0,4.0,0,1.0,1.0,9.0,0,1.0,1.0,19.0,0
f003,factual,hard,1,1,1,50,True,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,2.0,0,1.0,1.0,6.0,0,1.0,1.0,11.0,0,1.0,1.0,20.0,0
f004,factual,medium,1,1,1,50,True,0.5,2.0,0.0,0.0,0.0,,1.0,1.0,0.6309297535714575,0,1.0,1.0,0.6309297535714575,0,1.0,1.0,0.6309297535714575,0,1.0,1.0,0.6309297535714575,0,1.0,1.0,2.0,0,1.0,1.0,4.0,0,1.0,1.0,10.0,0,1.0,1.0,21.0,0
f005,factual,easy,1,1,1,50,True,0.125,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.31546487678572877,0,1.0,1.0,0.31546487678572877,0,0.0,0.0,2.0,,0.0,0.0,5.0,,1.0,1.0,10.0,0,1.0,1.0,21.0,0
f006,factual,easy,1,1,2,50,True,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.6131471927654584,0,1.0,1.0,0.6131471927654584,0,1.0,1.0,0.7977228895450266,0,1.0,1.0,0.7977228895450266,0,1.0,1.0,2.0,0,1.0,1.0,4.0,0,1.0,1.0,9.0,0,1.0,1.0,19.0,0
f007,factual,medium,1,1,2,50,True,0.3333333333333333,3.0,0.0,0.0,0.0,,1.0,1.0,0.3065735963827292,0,1.0,1.0,0.5437713091520254,0,1.0,1.0,0.5437713091520254,0,1.0,1.0,0.5437713091520254,0,0.0,0.0,2.0,,1.0,1.0,5.0,0,1.0,1.0,10.0,0,1.0,1.0,20.0,0
